# Start time|End time|Protocol|Victim IP|HoneyPot IP|Amplifier Protocol|Byte size|Packet count|Attack Count 
1546300800|1546302298|17|189.236.192.123|200.19.107.238|NTP|3025309|104321|1 
1546300800|1546300821|17|85.150.54.145|200.19.107.238|NTP|29435|1015|2 
1546300800|1546300959|17|71.251.63.167|200.19.107.238|NTP|224257|7733|3 
1546300800|1546302406|17|107.12.161.221|200.19.107.238|NTP|2337052|80588|4 
1546300800|1546304380|17|213.37.208.165|200.19.107.238|NTP|8092247|279043|5 
1546300800|1546304399|17|222.79.185.47|200.19.107.238|CHARGEN|163185178|202463|6 
1546300800|1546302669|17|73.182.104.183|200.19.107.238|NTP|381901|13169|7 
1546300800|1546302069|17|66.165.235.234|200.19.107.238|NTP|63626|2194|8 
1546300801|1546300811|17|156.232.255.2|200.19.107.238|CHARGEN|62868|78|9 
1546300801|1546301402|17|39.106.114.252|200.19.107.238|CHARGEN|3399708|4218|10 
1546300801|1546300920|17|154.219.152.161|200.19.107.238|CHARGEN|723788|898|11 
1546300801|1546301402|17|106.14.0.55|200.19.107.238|CHARGEN|3582670|4445|12 
1546300803|1546300822|17|73.148.64.3|200.19.107.238|NTP|435|15|13 
1546300811|1546300820|17|156.232.255.3|200.19.107.238|CHARGEN|51584|64|14 
1546300821|1546300831|17|156.232.255.4|200.19.107.238|CHARGEN|51584|64|15 
1546300831|1546300841|17|156.232.255.5|200.19.107.238|CHARGEN|51584|64|16 
1546300841|1546300851|17|156.232.255.6|200.19.107.238|CHARGEN|51584|64|17 
1546300843|1546300878|17|47.75.136.168|200.19.107.238|CHARGEN|1413724|1754|18 
1546300851|1546300861|17|156.232.255.7|200.19.107.238|CHARGEN|51584|64|19 
1546300862|1546300871|17|156.232.255.8|200.19.107.238|CHARGEN|51584|64|20 
1546300872|1546300881|17|156.232.255.9|200.19.107.238|CHARGEN|51584|64|21 
1546300879|1546300935|17|128.14.157.83|200.19.107.238|CHARGEN|1529788|1898|22 
1546300882|1546300891|17|156.232.255.10|200.19.107.238|CHARGEN|51584|64|23 
1546300892|1546300901|17|156.232.255.11|200.19.107.238|CHARGEN|51584|64|24 
1546300902|1546300911|17|156.232.255.12|200.19.107.238|CHARGEN|51584|64|25 
1546300912|1546300921|17|156.232.255.13|200.19.107.238|CHARGEN|51584|64|26 
1546300921|1546301041|17|154.219.152.162|200.19.107.238|CHARGEN|689936|856|27 
1546300922|1546300932|17|156.232.255.14|200.19.107.238|CHARGEN|51584|64|28 
1546300932|1546300942|17|156.232.255.15|200.19.107.238|CHARGEN|51584|64|29 
1546300942|1546300952|17|156.232.255.16|200.19.107.238|CHARGEN|51584|64|30 
1546300952|1546300962|17|156.232.255.17|200.19.107.238|CHARGEN|51584|64|31 
1546300962|1546300972|17|156.232.255.18|200.19.107.238|CHARGEN|51584|64|32 
1546300972|1546300982|17|156.232.255.19|200.19.107.238|CHARGEN|51584|64|33 
1546300982|1546300992|17|156.232.255.20|200.19.107.238|CHARGEN|51584|64|34 
1546300993|1546301002|17|156.232.255.21|200.19.107.238|CHARGEN|51584|64|35 
1546301003|1546301012|17|156.232.255.22|200.19.107.238|CHARGEN|51584|64|36 
1546301013|1546301022|17|156.232.255.23|200.19.107.238|CHARGEN|51584|64|37 
1546301023|1546301032|17|156.232.255.24|200.19.107.238|CHARGEN|51584|64|38 
