Start time|End time|Protocol|Source IP|Destination IP|Source Port|Destination Port|Byte size|Packet count|Attack 
1568919590705759|1568919599927234|17|71.37.200.37|33160|200.19.107.238|19|3016|104|True
1568919590703131|1568919599986323|17|71.37.200.37|33160|200.19.107.255|19|3045|105|True
1568919589115265|1568919599940097|17|86.2.41.130|64340|200.19.107.238|19|3451|119|True
1568919588980560|1568919599995152|17|86.2.41.130|64340|200.19.107.255|19|3509|121|True
1568919588810379|1568919599980317|17|86.2.41.130|5642|200.19.107.255|19|3973|137|True
1568919588751427|1568919599920180|17|86.2.41.130|5642|200.19.107.238|19|4002|138|True
1568919568335573|1568919599991376|17|173.91.13.248|4040|200.19.107.238|19|11194|386|True
1568919568278821|1568919599965394|17|173.91.13.248|23516|200.19.107.238|19|11426|394|True
1568919568142627|1568919599969177|17|173.91.13.248|4040|200.19.107.255|19|11281|389|True
1568919568111573|1568919599943316|17|173.91.13.248|23516|200.19.107.255|19|11484|396|True
1568919530693694|1568919590576536|17|71.37.200.37|33160|200.19.107.255|19|19372|668|True
1568919530635955|1568919590613323|17|71.37.200.37|33160|200.19.107.238|19|19430|670|True
1568919529099012|1568919589010948|17|86.2.41.130|64340|200.19.107.238|19|18995|655|True
1568919528979084|1568919588926051|17|86.2.41.130|64340|200.19.107.255|19|19053|657|True
1568919528783406|1568919588720591|17|86.2.41.130|5642|200.19.107.255|19|21344|736|True
1568919528727075|1568919588671711|17|86.2.41.130|5642|200.19.107.238|19|21373|737|True
1568919508297716|1568919568249594|17|173.91.13.248|4040|200.19.107.238|19|21344|736|True
1568919508216388|1568919568205614|17|173.91.13.248|23516|200.19.107.238|19|21489|741|True
1568919508108183|1568919568035729|17|173.91.13.248|23516|200.19.107.255|19|21431|739|True
1568919508106334|1568919568057567|17|173.91.13.248|4040|200.19.107.255|19|21373|737|True
1568919470634766|1568919530548513|17|71.37.200.37|33160|200.19.107.238|19|19169|661|True
1568919470610038|1568919530602239|17|71.37.200.37|33160|200.19.107.255|19|19285|665|True
1568919469080573|1568919529006502|17|86.2.41.130|64340|200.19.107.238|19|18966|654|True
1568919468962514|1568919528888148|17|86.2.41.130|64340|200.19.107.255|19|18937|653|True
1568919468781565|1568919528705296|17|86.2.41.130|5642|200.19.107.255|19|21286|734|True
1568919468648817|1568919528645106|17|86.2.41.130|5642|200.19.107.238|19|21344|736|True
1568919448282143|1568919508213439|17|173.91.13.248|4040|200.19.107.238|19|21228|732|True
1568919448191648|1568919508135193|17|173.91.13.248|23516|200.19.107.238|19|21924|756|True
